wl,n,k
0.4,1.587434288,0.00E+00
0.4145,1.573789794,0.00E+00
0.4295,1.561973615,0.00E+00
0.445,1.551748072,0.00E+00
0.4611,1.54285266,0.00E+00
0.4778,1.535127443,0.00E+00
0.4951,1.52842753,0.00E+00
0.513,1.522622879,0.00E+00
0.5316,1.517572864,0.00E+00
0.5508,1.513207928,0.00E+00
0.5708,1.509401123,0.00E+00
0.5914,1.506118052,0.00E+00
0.6128,1.503261422,0.00E+00
0.635,1.500780096,0.00E+00
0.658,1.498627707,0.00E+00
0.6818,1.496762616,0.00E+00
0.7065,1.495141721,0.00E+00
0.7321,1.493735107,0.00E+00
0.7586,1.492515834,0.00E+00
0.786,1.491459847,0.00E+00
0.8145,1.49053991,0.00E+00
0.8439,1.489745034,0.00E+00
0.8745,1.489052034,0.00E+00
0.9061,1.488452617,0.00E+00
0.9389,1.487931386,0.00E+00
0.9729,1.487478813,0.00E+00
1.008,1.48708733,0.00E+00
1.045,1.486741927,0.00E+00
1.082,1.48645237,0.00E+00
1.122,1.486190068,0.00E+00
1.162,1.485970417,0.00E+00
1.204,1.485776875,0.00E+00
1.248,1.485607079,0.00E+00
1.293,1.485461618,0.00E+00
1.34,1.485334285,0.00E+00
1.388,1.485225225,0.00E+00
1.439,1.485128122,0.00E+00
1.491,1.485045214,0.00E+00
1.545,1.484973017,0.00E+00
1.6,1.48491127,0.00E+00
1.658,1.484856587,0.00E+00
1.718,1.484809143,0.00E+00
1.781,1.484767397,0.00E+00
1.845,1.484731834,0.00E+00
1.912,1.48470058,0.00E+00
1.981,1.484673566,0.00E+00
2.053,1.484649904,0.00E+00
2.127,1.484629485,0.00E+00
2.204,1.484611635,0.00E+00
2.284,1.484596061,0.00E+00
2.366,1.484582642,0.00E+00
2.452,1.48457081,0.00E+00
2.541,1.484560523,0.00E+00
2.633,1.484551583,0.00E+00
2.728,1.484543816,0.00E+00
2.827,1.484537005,0.00E+00
2.929,1.484531098,0.00E+00
3.035,1.484525928,0.00E+00
3.145,1.484521408,0.00E+00
3.259,1.484517462,0.00E+00
3.377,1.484514019,0.00E+00
3.499,1.484511015,0.00E+00
3.626,1.484508377,0.00E+00
3.757,1.48450608,0.00E+00
3.893,1.484504064,0.00E+00
4.034,1.484502298,0.00E+00
4.18,1.484500751,0.00E+00
4.331,1.484499397,0.00E+00
4.488,1.484498205,0.00E+00
4.65,1.484497161,0.00E+00
4.818,1.484496244,0.00E+00
4.993,1.484495432,0.00E+00
5.174,1.484494719,0.00E+00
5.361,1.484494093,0.00E+00
5.555,1.484493541,0.00E+00
5.756,1.484493053,0.00E+00
5.964,1.484492622,0.00E+00
6.18,1.484492241,0.00E+00
6.404,1.484491903,0.00E+00
6.636,1.484491603,0.00E+00
6.876,1.484491338,0.00E+00
7.125,1.484491103,0.00E+00
7.382,1.484490894,0.00E+00
7.65,1.484490707,0.00E+00
7.926,1.484490541,0.00E+00
8.213,1.484490393,0.00E+00
8.511,1.48449026,0.00E+00
8.819,1.484490141,0.00E+00
9.138,1.484490035,0.00E+00
9.468,1.48448994,0.00E+00
9.811,1.484489855,0.00E+00
10.17,1.484489777,0.00E+00
10.53,1.48448971,0.00E+00
10.92,1.484489646,0.00E+00
11.31,1.48448959,0.00E+00
11.72,1.48448954,0.00E+00
12.14,1.484489494,0.00E+00
12.58,1.484489452,0.00E+00
13.04,1.484489414,0.00E+00
13.51,1.48448938,0.00E+00
14,1.484489349,0.00E+00
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
