wl,n,k
0.4,2.569933948,0
0.4145,2.532997081,0
0.4295,2.503041675,0
0.445,2.478148985,0
0.4611,2.45695963,0
0.4778,2.438689164,0
0.4951,2.422774206,0
0.513,2.408796748,0
0.5316,2.396376116,0
0.5508,2.385342174,0
0.5708,2.375399868,0
0.5914,2.366501945,0
0.6128,2.358438121,0
0.635,2.351118589,0
0.658,2.344464969,0
0.6818,2.338408482,0
0.7065,2.332867424,0
0.7321,2.327795453,0
0.7586,2.323150369,0
0.786,2.318893758,0
0.8145,2.314964687,0
0.8439,2.311363097,0
0.8745,2.30802819,0
0.9061,2.304961206,0
0.9389,2.302122969,0
0.9729,2.299497701,0
1.008,2.297076639,0
1.045,2.294796429,0
1.082,2.29275532,0
1.122,2.290779079,0
1.162,2.28900828,0
1.204,2.28733866,0
1.248,2.285768606,0
1.293,2.284325668,0
1.34,2.282969592,0
1.388,2.281721631,0
1.439,2.280526025,0
1.491,2.279425878,0
1.545,2.278392624,0
1.6,2.277438676,0
1.658,2.276525286,0
1.718,2.275666431,0
1.781,2.274845462,0
1.845,2.274084227,0
1.912,2.273354677,0
1.981,2.272665092,0
2.053,2.272002674,0
2.127,2.271373831,0
2.204,2.270767194,0
2.284,2.270180764,0
2.366,2.269619022,0
2.452,2.269066059,0
2.541,2.268526641,0
2.633,2.267998418,0
2.728,2.267479037,0
2.827,2.266961029,0
2.929,2.266447571,0
3.035,2.265931488,0
3.145,2.265410822,0
3.259,2.264883508,0
3.377,2.264347399,0
3.499,2.263800284,0
3.626,2.263235463,0
3.757,2.262655082,0
3.893,2.262052305,0
4.034,2.261424627,0
4.18,2.260769423,0
4.331,2.260083953,0
4.488,2.259360728,0
4.65,2.25860127,0
4.818,2.257797652,0
4.993,2.256941385,0
5.174,2.256033442,0
5.361,2.255069879,0
5.555,2.254041182,0
5.756,2.252942514,0
5.964,2.251768753,0
6.18,2.250508541,0
6.404,2.249155505,0
6.636,2.247702845,0
6.876,2.246143309,0
7.125,2.244462281,0
7.382,2.242657827,0
7.65,2.240698694,0
7.926,2.23859586,0
8.213,2.236314614,0
8.511,2.233840581,0
8.819,2.231166984,0
9.138,2.228268716,0
9.468,2.225127217,0
9.811,2.221701705,0
10.17,2.217934474,0
10.53,2.213962079,0
10.92,2.209428823,0
11.31,2.204645262,0
11.72,2.199332817,0
12.14,2.193573264,0
12.58,2.187174906,0
13.04,2.180062157,0
13.51,2.172317787,0
14,2.163693722,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
